,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
6444,09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO.",Non-ref,CO,77006776,0.00024915666666913694,1494.94,1494.942711184371,0.0001813574037110007,excellent,0
2017,02387500,"OOSTANAULA RIVER AT RESACA, GA",Non-ref,GA,73011126,0.00044587089492050414,4153.317,4153.307263397121,0.0002344295626713966,excellent,0
971,01613000,"POTOMAC RIVER AT HANCOCK, MD",Non-ref,MD,73005077,0.0008888933333395244,10556.82,10556.87987220085,0.0005671423861617874,excellent,0
420,01350101,SCHOHARIE CREEK AT GILBOA NY,Non-ref,NY,73003443,0.0001612203461406043,817.1208,817.1159908652013,0.0005885463689987813,excellent,0
2896,03372500,SALT CREEK NEAR HARRODSBURG IND,Non-ref,IN,74038878,0.00027273666664484614,1120.253,1120.260203493604,0.0006430238173018201,excellent,0
4815,06759500,"SOUTH PLATTE RIVER AT FORT MORGAN, CO.",Non-ref,CO,74029496,0.00025866666662466287,37912.93,37913.1761723821,0.0006493098320180468,excellent,0
2945,03421000,"COLLINS RIVER NEAR MCMINNVILLE, TN",Non-ref,TN,74054427,4.941333331487385e-05,1664.06,1664.0482720200132,0.0007047810768088101,excellent,0
815,01541000,"West Branch Susquehanna River at Bower, PA",Non-ref,PA,73005411,0.00013262259088204654,817.7463,817.7559595886023,0.0011812451615237707,excellent,0
6665,09302000,"DUCHESNE RIVER NEAR RANDLETT, UT",Non-ref,UT,77006285,0.00012241196895091528,9771.918,9771.789811076344,0.001311809244163997,excellent,0
2159,02462951,BLACK WARRIOR RIVER AT HOLT L&D NEAR HOLT AL.,Non-ref,AL,73014374,0.0009940866666511285,10933.82,10933.632019972141,0.0017192529953706007,excellent,0
5321,07099973,ARKANSAS RIVER TRIBUTARY ABOVE HWY 227 AT PUEBLO,Non-ref,CO,74045864,0.00078535993163124,12263.06,12263.272462603969,0.0017325415024428681,excellent,0
1568,02207448,"BIG HAYNES CREEK AT BALD ROCK ROAD, NR MILSTEAD GA",Non-ref,GA,73012175,0.0005553333333239153,211.9221,211.91794836993526,0.0019590359215674886,excellent,0
6234,08197500,"Frio Rv bl Dry Frio Rv nr Uvalde, TX",Non-ref,TX,75017676,0.0007951863588620471,1639.698,1639.7341456707854,0.0022044102502622384,excellent,0
1017,01638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",Non-ref,VA,73007686,0.00019633998294130497,60.075,60.07639111052414,0.002315623011467489,excellent,0
1904,02341725,"PINE KNOT CREEK NEAR EELBEECK, GA",Ref,GA,73015760,0.00014333333333382825,172.4751,172.47940976384038,0.002498774513180265,excellent,0
4628,06468170,"JAMES RIVER NR GRACE CITY, ND",Ref,ND,74001449,0.0001184403858662441,2809.098,2809.172469033784,0.002650994510843899,excellent,0
7513,11193020,KERN R A RIO BRAVO PP DIV DAM NR BKRSFLD CA,Non-ref,CA,77021506,0.000355910413208039,5982.144,5981.967357367672,0.0029528314986795156,excellent,0
8450,13335050,"ASOTIN CREEK AT ASOTIN, WA",Non-ref,WA,78018074,0.00015666666665481446,840.6135,840.5878337711736,0.003053273451649375,excellent,0
4316,06142400,Clear Creek near Chinook MT,Non-ref,MT,74002429,0.00046473564767654155,348.5907,348.57905960660014,0.0033392725049425473,excellent,0
182,01111050,"MUMFORD RIVER AT UXBRIDGE, MA",Non-ref,MA,73003833,9.999999999621423e-05,145.3851,145.3907507396851,0.0038867392085632393,excellent,0
8369,13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID,Non-ref,ID,78024476,0.00036264666668728296,2532.608,2532.719540992,0.004404194885266317,excellent,0
3506,04197000,Sandusky River near Mexico OH,Non-ref,OH,72059486,8.08100000142531e-05,2009.436,2009.5267451465925,0.004515951072467762,excellent,0
6742,09364500,"ANIMAS RIVER AT FARMINGTON, NM",Non-ref,NM,77021133,0.000351683333320807,3545.659,3545.8209700574766,0.0045681228081024565,excellent,0
5242,07055000,"WHITE RIVER NEAR FLIPPIN, ARK.",Non-ref,AR,74053839,0.00042577256321576845,15707.01,15707.748677721773,0.004702853832604338,excellent,0
7176,10336580,UPPER TRUCKEE RV AT S UPPER TRUCKEE RD NR MEYERS,Ref,CA,77020131,9.66666666784022e-05,36.8802,36.87842332992413,0.004817409005021398,excellent,0
5273,07067000,"Current River at Van Buren, MO",Ref,MO,74053771,0.0002888866666808099,4349.011,4349.224483264406,0.004908777292263057,excellent,0
6806,09408135,"VIRGIN RIVER AB QUAIL CREEK NEAR HURRICANE, UT",Non-ref,UT,77014155,0.0008153333333282831,3639.398,3639.597423314911,0.005479568733915495,excellent,0
6142,08158827,"Onion Ck at Twin Creeks Rd nr Manchaca, TX",Non-ref,TX,75013052,0.0005506666666690307,468.0621,468.08826376713984,0.005589806809790605,excellent,0
1506,02187500,"SAVANNAH RIVER NEAR IVA,S.C.",Non-ref,GA,73011266,0.0005704088982787774,5788.516,5788.848594239826,0.005745760050175105,excellent,0
1834,02323500,"SUWANNEE RIVER NEAR WILCOX, FLA.",Non-ref,FL,73020341,0.0009868700000055242,25078.26,25076.795737566612,0.005838772041547006,excellent,0
7839,11453500,PUTAH C NR GUENOC CA,Non-ref,CA,77015981,0.00030980233701786096,293.4459,293.46343505349546,0.005975566022719888,excellent,0
6861,09470000,"GILA RIVER AT WINKELMAN, ARIZ.",Non-ref,AZ,77032270,0.0009385999999835802,34554.38,34552.232110664416,0.006215968382536649,excellent,0
3884,05422000,"Wapsipinicon River near De Witt, IA",Non-ref,IA,74022710,0.0003385554540539379,6049.042,6049.437491410928,0.0065380834010940365,excellent,0
2074,02414500,TALLAPOOSA RIVER AT WADLEY AL,Non-ref,AL,73014448,4.587333333461174e-05,4336.82,4336.5196117261385,0.006926463949650775,excellent,0
3837,05385500,"SOUTH FORK ROOT RIVER NEAR HOUSTON, MN",Ref,MN,74017808,0.00024434666668327054,711.8028,711.7526639307457,0.007043533581820102,excellent,0
1256,02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",Non-ref,NC,73009274,0.0005553333333239153,10219.89,10219.167030353432,0.007074143132337385,excellent,0
5918,08055500,"Elm Fk Trinity Rv nr Carrollton, TX",Non-ref,TX,75005610,0.00011292259594602773,6369.656,6370.140432646676,0.007605318822184368,excellent,0
8750,14335500,"SOUTH FORK BIG BUTTE CR NR BUTTE FALLS,OREG.",Non-ref,OR,78027199,0.000128940000003297,363.1725,363.20040816644286,0.007684548373800818,excellent,0
3954,05455700,"Iowa River near Lone Tree, IA",Non-ref,IA,74029076,0.0005055666666891057,11127.56,11126.68607550334,0.007853693861547708,excellent,0
6225,08190000,"Nueces Rv at Laguna, TX",Ref,TX,75018147,0.0006037914093817794,1961.433,1961.2733632508239,0.008138781654847028,excellent,0
625,01446000,Beaver Brook near Belvidere NJ,Non-ref,NJ,73005819,0.0003926799658172941,95.5116,95.51944545055056,0.00821413372884744,excellent,0
1195,02075000,"DAN RIVER AT DANVILLE, VA",Non-ref,VA,73007952,0.0006713837466129769,5338.251,5337.811149518319,0.008239599106165637,excellent,0
2221,02489500,"Pearl River near Bogalusa, LA",Non-ref,MS,74071255,0.0005774563957986349,16991.8,16993.226195202747,0.008393432142258054,excellent,0
8298,13055000,TETON RIVER NR ST ANTHONY ID,Non-ref,ID,78024481,0.0005251429826635224,2294.463,2294.266192791857,0.008577484498251981,excellent,0
5860,08026000,"Sabine Rv nr Burkeville, TX",Non-ref,TX,75011564,0.00044980333333910494,19466.7,19465.025272284853,0.008603038600009438,excellent,0
6313,08281100,"RIO GRANDE ABOVE SAN JUAN PUEBLO, NM",Non-ref,NM,75000707,3.2550482170885736e-05,26528.88,26526.542994314692,0.008809288915736823,excellent,0
2178,02473000,"LEAF RIVER AT HATTIESBURG, MS",Non-ref,MS,73017599,0.0002777800000188791,4542.001,4542.403639400688,0.008864802114482219,excellent,0
