,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
2606,09057500,"BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO.",Non-ref,CO,77006776,0.00024915666666913694,1494.94,1494.942711184371,0.0001813574037110007,excellent,0
5983,02387500,"OOSTANAULA RIVER AT RESACA, GA",Non-ref,GA,73011126,0.00044587089492050414,4153.317,4153.307263397121,0.0002344295626713966,excellent,0
7546,01613000,"POTOMAC RIVER AT HANCOCK, MD",Non-ref,MD,73005077,0.0008888933333395244,10556.82,10556.87987220085,0.0005671423861617874,excellent,0
7851,01350101,SCHOHARIE CREEK AT GILBOA NY,Non-ref,NY,73003443,0.0001612203461406043,817.1208,817.1159908652013,0.0005885463689987813,excellent,0
5478,03372500,SALT CREEK NEAR HARRODSBURG IND,Non-ref,IN,74038878,0.00027273666664484614,1120.253,1120.260203493604,0.0006430238173018201,excellent,0
2849,06759500,"SOUTH PLATTE RIVER AT FORT MORGAN, CO.",Non-ref,CO,74029496,0.00025866666662466287,37912.93,37913.1761723821,0.0006493098320180468,excellent,0
5945,03421000,"COLLINS RIVER NEAR MCMINNVILLE, TN",Non-ref,TN,74054427,4.941333331487385e-05,1664.06,1664.0482720200132,0.0007047810768088101,excellent,0
6897,01541000,"West Branch Susquehanna River at Bower, PA",Non-ref,PA,73005411,0.00013262259088204654,817.7463,817.7559595886023,0.0011812451615237707,excellent,0
2119,09302000,"DUCHESNE RIVER NEAR RANDLETT, UT",Non-ref,UT,77006285,0.00012241196895091528,9771.918,9771.789811076344,0.001311809244163997,excellent,0
5624,02462951,BLACK WARRIOR RIVER AT HOLT L&D NEAR HOLT AL.,Non-ref,AL,73014374,0.0009940866666511285,10933.82,10933.632019972141,0.0017192529953706007,excellent,0
2860,07099973,ARKANSAS RIVER TRIBUTARY ABOVE HWY 227 AT PUEBLO,Non-ref,CO,74045864,0.00078535993163124,12263.06,12263.272462603969,0.0017325415024428681,excellent,0
6342,02207448,"BIG HAYNES CREEK AT BALD ROCK ROAD, NR MILSTEAD GA",Non-ref,GA,73012175,0.0005553333333239153,211.9221,211.91794836993526,0.0019590359215674886,excellent,0
3209,08197500,"Frio Rv bl Dry Frio Rv nr Uvalde, TX",Non-ref,TX,75017676,0.0007951863588620471,1639.698,1639.7341456707854,0.0022044102502622384,excellent,0
7596,01638420,"N F CATOCTIN CREEK AT RT 681 NEAR WATERFORD, VA",Non-ref,VA,73007686,0.00019633998294130497,60.075,60.07639111052414,0.002315623011467489,excellent,0
6423,02341725,"PINE KNOT CREEK NEAR EELBEECK, GA",Ref,GA,73015760,0.00014333333333382825,172.4751,172.47940976384038,0.002498774513180265,excellent,0
3226,06468170,"JAMES RIVER NR GRACE CITY, ND",Ref,ND,74001449,0.0001184403858662441,2809.098,2809.172469033784,0.002650994510843899,excellent,0
900,11193020,KERN R A RIO BRAVO PP DIV DAM NR BKRSFLD CA,Non-ref,CA,77021506,0.000355910413208039,5982.144,5981.967357367672,0.0029528314986795156,excellent,0
1376,13335050,"ASOTIN CREEK AT ASOTIN, WA",Non-ref,WA,78018074,0.00015666666665481446,840.6135,840.5878337711736,0.003053273451649375,excellent,0
2182,06142400,Clear Creek near Chinook MT,Non-ref,MT,74002429,0.00046473564767654155,348.5907,348.57905960660014,0.0033392725049425473,excellent,0
8512,01111050,"MUMFORD RIVER AT UXBRIDGE, MA",Non-ref,MA,73003833,9.999999999621423e-05,145.3851,145.3907507396851,0.0038867392085632393,excellent,0
1412,13190500,SF BOISE RIVER AT ANDERSON RANCH DAM ID,Non-ref,ID,78024476,0.00036264666668728296,2532.608,2532.719540992,0.004404194885266317,excellent,0
6141,04197000,Sandusky River near Mexico OH,Non-ref,OH,72059486,8.08100000142531e-05,2009.436,2009.5267451465925,0.004515951072467762,excellent,0
2146,09364500,"ANIMAS RIVER AT FARMINGTON, NM",Non-ref,NM,77021133,0.000351683333320807,3545.659,3545.8209700574766,0.0045681228081024565,excellent,0
4597,07055000,"WHITE RIVER NEAR FLIPPIN, ARK.",Non-ref,AR,74053839,0.00042577256321576845,15707.01,15707.748677721773,0.004702853832604338,excellent,0
652,10336580,UPPER TRUCKEE RV AT S UPPER TRUCKEE RD NR MEYERS,Ref,CA,77020131,9.66666666784022e-05,36.8802,36.87842332992413,0.004817409005021398,excellent,0
4880,07067000,"Current River at Van Buren, MO",Ref,MO,74053771,0.0002888866666808099,4349.011,4349.224483264406,0.004908777292263057,excellent,0
1467,09408135,"VIRGIN RIVER AB QUAIL CREEK NEAR HURRICANE, UT",Non-ref,UT,77014155,0.0008153333333282831,3639.398,3639.597423314911,0.005479568733915495,excellent,0
3423,08158827,"Onion Ck at Twin Creeks Rd nr Manchaca, TX",Non-ref,TX,75013052,0.0005506666666690307,468.0621,468.08826376713984,0.005589806809790605,excellent,0
6758,02187500,"SAVANNAH RIVER NEAR IVA,S.C.",Non-ref,GA,73011266,0.0005704088982787774,5788.516,5788.848594239826,0.005745760050175105,excellent,0
6845,02323500,"SUWANNEE RIVER NEAR WILCOX, FLA.",Non-ref,FL,73020341,0.0009868700000055242,25078.26,25076.795737566612,0.005838772041547006,excellent,0
216,11453500,PUTAH C NR GUENOC CA,Non-ref,CA,77015981,0.00030980233701786096,293.4459,293.46343505349546,0.005975566022719888,excellent,0
1655,09470000,"GILA RIVER AT WINKELMAN, ARIZ.",Non-ref,AZ,77032270,0.0009385999999835802,34554.38,34552.232110664416,0.006215968382536649,excellent,0
4754,05422000,"Wapsipinicon River near De Witt, IA",Non-ref,IA,74022710,0.0003385554540539379,6049.042,6049.437491410928,0.0065380834010940365,excellent,0
6034,02414500,TALLAPOOSA RIVER AT WADLEY AL,Non-ref,AL,73014448,4.587333333461174e-05,4336.82,4336.5196117261385,0.006926463949650775,excellent,0
4470,05385500,"SOUTH FORK ROOT RIVER NEAR HOUSTON, MN",Ref,MN,74017808,0.00024434666668327054,711.8028,711.7526639307457,0.007043533581820102,excellent,0
8183,02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",Non-ref,NC,73009274,0.0005553333333239153,10219.89,10219.167030353432,0.007074143132337385,excellent,0
3727,08055500,"Elm Fk Trinity Rv nr Carrollton, TX",Non-ref,TX,75005610,0.00011292259594602773,6369.656,6370.140432646676,0.007605318822184368,excellent,0
62,14335500,"SOUTH FORK BIG BUTTE CR NR BUTTE FALLS,OREG.",Non-ref,OR,78027199,0.000128940000003297,363.1725,363.20040816644286,0.007684548373800818,excellent,0
4513,05455700,"Iowa River near Lone Tree, IA",Non-ref,IA,74029076,0.0005055666666891057,11127.56,11126.68607550334,0.007853693861547708,excellent,0
3204,08190000,"Nueces Rv at Laguna, TX",Ref,TX,75018147,0.0006037914093817794,1961.433,1961.2733632508239,0.008138781654847028,excellent,0
7974,01446000,Beaver Brook near Belvidere NJ,Non-ref,NJ,73005819,0.0003926799658172941,95.5116,95.51944545055056,0.00821413372884744,excellent,0
7108,02075000,"DAN RIVER AT DANVILLE, VA",Non-ref,VA,73007952,0.0006713837466129769,5338.251,5337.811149518319,0.008239599106165637,excellent,0
5290,02489500,"Pearl River near Bogalusa, LA",Non-ref,MS,74071255,0.0005774563957986349,16991.8,16993.226195202747,0.008393432142258054,excellent,0
1763,13055000,TETON RIVER NR ST ANTHONY ID,Non-ref,ID,78024481,0.0005251429826635224,2294.463,2294.266192791857,0.008577484498251981,excellent,0
4411,08026000,"Sabine Rv nr Burkeville, TX",Non-ref,TX,75011564,0.00044980333333910494,19466.7,19465.025272284853,0.008603038600009438,excellent,0
2724,08281100,"RIO GRANDE ABOVE SAN JUAN PUEBLO, NM",Non-ref,NM,75000707,3.2550482170885736e-05,26528.88,26526.542994314692,0.008809288915736823,excellent,0
5263,02473000,"LEAF RIVER AT HATTIESBURG, MS",Non-ref,MS,73017599,0.0002777800000188791,4542.001,4542.403639400688,0.008864802114482219,excellent,0
1504,12302055,Fisher River near Libby MT,Non-ref,MT,78014001,0.00014575827785046807,2185.286,2185.483639730277,0.009044112774114365,excellent,0
3566,06485500,"Big Sioux River at Akron, IA",Non-ref,IA,74022591,0.0001782309782639633,19904.46,19906.292130318063,0.00920462206994673,excellent,0
1525,12353000,Clark Fork below Missoula MT,Non-ref,MT,78017471,0.0004551174945971943,23353.03,23355.235677071967,0.00944492886776679,excellent,0
6697,02153551,"BROAD RIVER BELOW NINETYNINE ISLAND RESERVOIR,SC",Non-ref,SC,73009366,0.000813879905145804,4036.788,4036.3831229242464,0.01002968389109299,excellent,0
7647,01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",Ref,VA,73006805,0.0002989741752038352,1209.747,1209.8751781231474,0.010595448729968829,excellent,0
2172,08477000,"MIMBRES RIVER NEAR MIMBRES, NM",Non-ref,NM,75005854,0.00031701999999711466,401.6232,401.5784816902724,0.011134394060804707,excellent,0
2931,06335500,"LITTLE MISSOURI RIVER AT MARMARTH, ND",Non-ref,ND,74004570,0.0009820911803052558,12070.69,12069.320441852884,0.011346146302461165,excellent,0
2836,06713500,"CHERRY CREEK AT DENVER, CO.",Non-ref,CO,74038842,1.8260000004488575e-05,1063.21,1063.330854699045,0.01136696410350845,excellent,0
6968,03072500,"Monongahela River at Greensboro, PA",Non-ref,PA,74037607,0.0009108433333580024,11349.65,11348.33292172866,0.011604571694638214,excellent,0
3982,07185000,"Neosho River near Commerce, OK",Non-ref,OK,74054132,0.00021606119103227163,15347.65,15349.591839961568,0.012652360208682722,excellent,0
2365,09342500,"SAN JUAN RIVER AT PAGOSA SPRINGS, CO.",Non-ref,CO,77015093,0.0002860977428457895,726.894,726.9864665914588,0.012720780672118308,excellent,0
5531,03428000,"WEST FORK STONES RIVER NEAR MURFREESBORO, TN",Non-ref,TN,74056071,7.800000020097286e-06,331.3008,331.34356229227456,0.012907391794578844,excellent,0
7700,02077500,"HYCO RIVER NEAR DENNISTON, VA",Non-ref,VA,73007981,0.0004982250810313499,746.7939,746.8907414539436,0.012967627874789191,excellent,0
3363,07326500,"Washita River at Anadarko, OK",Non-ref,OK,74061169,0.000771700000015585,9429.761,9431.031232002553,0.01347045808003832,excellent,0
1083,12484500,"YAKIMA RIVER AT UMTANUM, WA",Non-ref,WA,78017721,0.0001367968778775445,4139.169,4139.731399136696,0.013587247505393304,excellent,0
3640,07180400,"COTTONWOOD R NR FLORENCE, KS",Non-ref,KS,74045912,0.00025643000000741267,1935.677,1935.4002444584612,0.014297609649683551,excellent,0
3395,08100000,"Leon Rv nr Hamilton, TX",Non-ref,TX,75006061,0.00011349770942858921,4999.764,5000.4899239178385,0.014519163661292259,excellent,0
3831,08211500,"Nueces Rv at Calallen, TX",Non-ref,TX,75017619,0.000616181971671637,43211.08,43204.66577458818,0.01484393681393671,excellent,0
2271,09073300,"ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.",Non-ref,CO,77008399,0.0002688446479356728,196.7139,196.74329469924592,0.014942868422580642,excellent,0
2770,06326500,Powder River near Locate MT,Non-ref,MT,74004684,0.0006040271116636058,33847.35,33852.46577456523,0.015114254336693486,excellent,0
7165,02130561,"PEE DEE RIVER NR BENNETTSVILLE, S C",Non-ref,SC,73011142,0.00023758787847169517,20147.37,20150.421806829825,0.015147420382045357,excellent,0
2788,06395000,CHEYENNE R AT EDGEMONT SD,Non-ref,SD,74016920,0.0003047033333416493,18580.18,18583.011660386703,0.015240220421451376,excellent,0
4466,05383950,"ROOT RIVER NEAR PILOT MOUND, MN",Ref,MN,74017369,0.0005193333333437522,1465.655,1465.878474268526,0.01524739918506971,excellent,0
7894,01425000,WEST BR DELAWARE RIVER AT STILESVILLE NY,Non-ref,NY,73003347,0.00017611666666539352,1180.565,1180.7460767524212,0.015338143382293811,excellent,0
2986,06437000,BELLE FOURCHE R NEAR STURGIS SD,Non-ref,SD,74009516,0.0005102081839346074,15023.26,15020.951922467975,0.015363360096443658,excellent,0
1732,06033000,Boulder River near Boulder MT,Non-ref,MT,74005492,1.6666666624587376e-06,990.9198,991.0745835515908,0.01562018960472418,excellent,0
492,14211010,"CLACKAMAS RIVER NEAR OREGON CITY, OR",Non-ref,OR,78019931,0.00037193816687446795,2436.125,2436.508183388467,0.01572921703389326,excellent,0
2270,09070500,"COLORADO RIVER NEAR DOTSERO, CO.",Non-ref,CO,77006272,0.00029363666662618476,11399.51,11401.314711461406,0.01583148276904474,excellent,0
1968,09497500,"SALT RIVER NEAR CHRYSOTILE, AZ.",Non-ref,AZ,77027751,0.00022745333333773488,7330.731,7329.56894310285,0.015851855662816453,excellent,0
4715,05404000,"WISCONSIN RIVER NEAR WISCONSIN DELLS, WI",Non-ref,WI,74016584,0.0005153818485624349,20976.56,20973.19633960455,0.01603532893596951,excellent,0
3628,06876900,"SOLOMON R AT NILES, KS",Non-ref,KS,74038195,0.0004117129233464214,17487.47,17490.35354404272,0.016489200797584803,excellent,0
4472,05388250,"Upper Iowa River near Dorchester, IA",Non-ref,IA,74017203,0.0005825666666652296,2010.254,2009.917415273597,0.016743392944516544,excellent,0
3062,06352500,"CEDAR CREEK NR PRETTY ROCK, ND",Non-ref,ND,74004494,0.0005507700000251248,3492.697,3492.1025608048226,0.0170194893853526,excellent,0
2265,09260050,"YAMPA RIVER AT DEERLODGE PARK, CO.",Non-ref,CO,77005334,9.46438856422327e-05,20551.92,20548.35923333629,0.017325712944133247,excellent,0
6620,03198000,"KANAWHA RIVER AT CHARLESTON, WV",Non-ref,WV,74045284,0.00043278941946641044,27095.16,27099.880976310487,0.01742368862367839,excellent,0
5529,03426310,"CUMBERLAND RIVER AT OLD HICKORY DAM (TW), TN",Non-ref,TN,74053624,0.00048478992731563575,30232.68,30238.009152775576,0.017627126591408682,excellent,0
2846,06731000,"ST. VRAIN CREEK AT MOUTH, NEAR PLATTEVILLE, CO.",Non-ref,CO,74029609,0.0004232976894487726,2536.561,2537.0127238445707,0.017808514936977726,excellent,0
7694,02066500,"ROANOKE CREEK AT RT 612 AT SAXE, VA",Ref,VA,73008302,0.0004959859095272895,350.4344,350.3713594099276,0.017989269909682335,excellent,0
2464,06324000,"CLEAR CREEK NEAR ARVADA, WY",Non-ref,WY,74010008,0.00030159999998602416,2985.41,2985.950340877045,0.018099385915010327,excellent,0
2147,09365000,"SAN JUAN RIVER AT FARMINGTON, NM",Non-ref,NM,77020825,0.0006301799999874903,18633.95,18637.37980118993,0.018406195089768963,excellent,0
5606,02423500,CAHABA RIVER NEAR ACTON AL,Non-ref,AL,73014596,0.0005189079543481481,593.7696,593.8789478894553,0.018415878727255027,excellent,0
7745,02096960,"HAW RIVER NEAR BYNUM, NC",Non-ref,NC,73009382,0.0005555533333350127,3297.755,3298.392483191335,0.01933082328235186,excellent,0
1989,06065500,Missouri River bl Hauser Dam near Helena MT,Non-ref,MT,74004747,0.00021666666668096468,43324.43,43332.8716097043,0.01948464112349425,excellent,0
3097,06835000,"STINKING WATER CREEK NEAR PALISADE, NEBR.",Non-ref,NE,74030376,0.0003437293203676926,3741.574,3742.311476178977,0.01971031921263555,excellent,0
2965,06403700,"CHEYENNE RIVER AT REDSHIRT, SD",Non-ref,SD,74016448,5.7511351547056845e-05,26577.75,26583.02038708534,0.0198300724679109,excellent,0
3629,06877600,"SMOKY HILL R AT ENTERPRISE, KS",Non-ref,KS,74037699,0.0004227202188931692,49592.23,49602.126807916306,0.019956367996160587,excellent,0
6696,02153500,"BROAD RIVER NEAR GAFFNEY, SC",Non-ref,SC,73009368,0.0003717333333383977,3885.077,3884.251308316181,0.02125290396610052,excellent,0
3071,06441000,BAD R NEAR MIDLAND SD,Non-ref,SD,74017237,0.00010637714417087079,3797.513,3798.3296658587133,0.021505281449025974,excellent,0
2540,06710000,"SOUTH PLATTE RIVER AT LITTLETON, CO.",Non-ref,CO,74038452,0.00021696393071823694,7968.601,7970.355230235136,0.02201428124129536,excellent,0
6981,03081500,"Youghiogheny River at Ohiopyle, PA",Non-ref,PA,74037845,0.00051700000001631,2745.419,2746.0245300929396,0.022056017421738405,excellent,0
1282,14025000,"BIRCH CREEK AT RIETH,OREG.",Non-ref,OR,78020256,0.0006870838742058099,736.9956,736.8325240465284,0.02212712714588093,excellent,0
1275,14018500,"WALLA WALLA RIVER NEAR TOUCHET, WA",Non-ref,WA,78017581,0.00013414000003564297,4294.051,4295.0041399126285,0.022196753429991934,excellent,0
961,11108145,CASTAIC C NR SAUGUS CA,Non-ref,CA,77028518,0.00025588308792001013,524.313,524.4322740722772,0.022748639129150226,excellent,0
996,12182500,"CASCADE RIVER AT MARBLEMOUNT, WA",Ref,WA,78014276,2.217958267181723e-05,444.2544,444.35687798904803,0.02306741116082463,excellent,0
7951,01429000,"West Branch Lackawaxen River at Prompton, PA",Non-ref,PA,73003858,0.0001782033333341815,151.3764,151.41219468397682,0.023646145619021012,excellent,0
2927,06332515,"BEAR DEN CREEK NR MANDAREE, ND",Ref,ND,74002470,0.0006393211681313334,191.4867,191.53311316513168,0.02423832314811823,excellent,0
7155,0212433550,"ROCKY R AB IRISH BUFFALO CR NR ROCKY RIVER, NC",Non-ref,NC,73009576,3.3333333249174757e-07,723.1563,723.3411428399236,0.025560565526925504,excellent,0
1290,13286700,"POWDER RIVER NEAR RICHLAND,OREG.",Non-ref,OR,78021728,0.0006725433333514275,3512.036,3512.938544444677,0.02569861028409177,excellent,0
6609,03185400,"NEW RIVER AT THURMOND, WV",Non-ref,WV,74045365,0.00011284999999361388,17348.47,17352.965680824494,0.025913990250974985,excellent,0
2541,06710247,"SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C",Non-ref,CO,74038444,3.5355338919820763e-06,8028.787,8030.882127292384,0.0260951908723441,excellent,0
1401,13316500,LITTLE SALMON RIVER AT RIGGINS ID,Non-ref,ID,78019884,4.7140305250832246e-09,1492.905,1493.2958678072348,0.026181693224607505,excellent,0
1955,09466500,"GILA RIVER AT CALVA, AZ.",Non-ref,AZ,77027320,0.0004971455646438998,29892.82,29884.703129489408,0.027153244526919775,excellent,0
2571,09019500,"COLORADO RIVER NEAR GRANBY, CO",Non-ref,CO,77007140,0.00019704708969056045,835.7328,835.5058516025618,0.027155616895513743,excellent,0
