,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
695,10155000,"PROVO RIVER NEAR HAILSTONE, UT",Non-ref,UT,77007128,0.0008811166666760073,568.3752,616.031216653285,8.384605213824436,excellent,0
1531,05580000,"KICKAPOO CREEK AT WAYNESVILLE, IL",Non-ref,IL,74031222,0.00023897999994915153,591.4535,641.0996898243485,8.393929501532842,excellent,0
139,12013500,"WILLAPA RIVER NEAR WILLAPA, WA",Ref,WA,78018157,0.00010084666668319642,337.6854,366.039438756226,8.396584144954439,excellent,0
767,09266500,"ASHLEY CREEK NEAR VERNAL, UT",Non-ref,UT,77007691,0.0002632275703459066,262.7073,284.7832400329348,8.403245754090143,excellent,0
545,09416000,"MUDDY R NR MOAPA, NV",Non-ref,NV,77020993,0.0005618633333455136,10028.28,10872.734052937369,8.420726714225848,excellent,0
2815,01457000,MUSCONETCONG RIVER NEAR BLOOMSBURY NJ,Non-ref,NJ,73005764,0.00039279781695724286,366.7752,335.73804962763217,8.462172571201057,excellent,0
2845,01473000,"Perkiomen Creek at Graterford, PA",Non-ref,PA,73005475,9.966666667082792e-05,721.4031,782.5618026261187,8.477743251466306,excellent,0
896,09238900,"FISH CR AT UPPER STA NR STEAMBOAT SPRINGS, CO",Non-ref,CO,77012273,2.246000001093762e-05,67.833,73.59047627361797,8.487721718953853,excellent,0
694,10154200,"PROVO RIVER NEAR WOODLAND, UT",Non-ref,UT,77007585,0.0002278099999912797,419.8896,455.54768474080925,8.492252425592174,excellent,0
1478,04074950,"WOLF RIVER AT LANGLADE, WI",Ref,WI,72047028,0.00011052312176709143,1205.531,1308.296211894291,8.524476922973449,excellent,0
467,13217500,NORTH FORK MALHEUR RIVER AT BEULAH OR,Non-ref,OR,78024357,3.3333265037375046e-09,1157.341,1256.1080383688354,8.533961759657313,excellent,0
1493,05406500,"BLACK EARTH CREEK AT BLACK EARTH, WI",Non-ref,WI,74019295,6.856666622923058e-06,115.8579,125.82287645919769,8.601033213270469,excellent,0
151,12082500,"NISQUALLY RIVER NEAR NATIONAL, WA",Ref,WA,78018169,0.00024010989263045763,349.9983,380.12801573485154,8.608532022827418,excellent,0
1994,02401390,BIG CANOE CREEK AT ASHVILLE AL,Non-ref,AL,73011906,0.00025594000000239703,365.3478,396.8025996027322,8.609549476617124,excellent,0
999,07104000,"MONUMENT CREEK AT PIKEVIEW, CO.",Non-ref,CO,74039652,0.00025434666665091754,529.2297,574.9016216479115,8.629886351410649,excellent,0
85,11458000,NAPA R NR NAPA CA,Non-ref,CA,77015109,2.481333334003466e-05,566.3358,517.3935009719703,8.641922164911641,excellent,0
2114,02336300,"PEACHTREE CREEK AT ATLANTA, GA",Non-ref,GA,73012319,0.0005555599999738093,221.6925,240.88820179617082,8.658705998701274,excellent,0
2037,04195500,Portage River at Woodville OH,Non-ref,OH,72057990,0.00032935333333483646,1080.029,1173.5789405507214,8.661798947132107,excellent,0
2685,02052000,"MEHERRIN RIVER AT EMPORIA, VA",Non-ref,VA,73008106,0.00014954000000244608,1929.753,2097.419558969271,8.688498422817371,excellent,0
2555,04232050,ALLEN CREEK NEAR ROCHESTER NY,Non-ref,NY,72056947,0.00015386407856781824,77.44231,84.1874043644815,8.709831052923768,excellent,0
2505,02294491,SADDLE CREEK AT STRUCTURE P-11 NEAR BARTOW FL,Non-ref,FL,73021698,0.00035936666667168993,381.3912,414.6113830556694,8.710264698207352,excellent,0
175,14203500,"TUALATIN RIVER NEAR DILLEY, OR",Non-ref,OR,78020306,0.0006289714818349654,324.7677,353.07170163490235,8.715152903106548,excellent,0
517,13236500,DEADWOOD RIVER BL DEADWOOD RES NR LOWMAN ID,Non-ref,ID,78022428,0.00027777333333744997,283.6323,308.3886876920116,8.72833865959964,excellent,0
236,10308200,E F CARSON R BL MARKLEEVILLE C NR MARKLEEVILLECA,Ref,CA,77014763,0.00025400925496062594,716.4228,779.2870282845773,8.774738643797669,excellent,0
2850,01477000,"Chester Creek near Chester, PA",Non-ref,PA,73005646,5.787197599008149e-05,156.9942,170.8990192011512,8.856899937164037,excellent,0
1917,03261950,Loramie Creek near Newport OH,Non-ref,OH,74031695,0.000505006666642771,394.6005,429.61470606368096,8.873330384447293,excellent,0
2936,11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,Non-ref,CA,77016859,0.0003745450339293581,97.65,106.3393068818553,8.898419745883551,excellent,0
1629,05548280,"NIPPERSINK CREEK NEAR SPRING GROVE, IL",Non-ref,IL,74024416,0.0006382675790155556,498.2472,542.7536758879332,8.932609332863931,excellent,0
1566,07376000,"Tickfaw River at Holden, LA",Ref,LA,74071384,0.0001282314577366455,651.6053,709.8470587103418,8.938195976972828,excellent,0
1415,05455100,"Old Mans Creek near Iowa City, IA",Non-ref,IA,74023948,0.00010772300407352731,521.7515,568.4991029988232,8.95974482082433,excellent,0
1744,04122200,"WHITE RIVER NEAR WHITEHALL, MI",Ref,MI,72055577,6.780128227371228e-05,1048.284,1142.2102040606785,8.959995961082912,excellent,0
1689,05592575,"HICKORY CREEK NEAR BROWNSTOWN, IL",Ref,IL,74040736,0.0006118365794728905,115.2504,125.58536284815186,8.967398679876045,excellent,0
2361,01597500,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD",Non-ref,MD,73006655,0.000249999999972772,276.0048,300.77790186500874,8.975605447806977,excellent,0
785,09366500,LA PLATA RIVER AT COLORADO-NEW MEXICO STATE LINE,Non-ref,CO,77021358,0.0005531705552690659,800.7858,872.912169202368,9.006949074567503,excellent,0
877,06289600,"WEST PASS CREEK NEAR PARKMAN, WY",Non-ref,WY,74013841,0.000464833333339243,41.7546,45.51609120961225,9.008567222802386,excellent,0
360,12175500,"THUNDER CREEK NEAR NEWHALEM, WA",Ref,WA,78014338,0.00039994902354651795,273.8205,298.5359139484428,9.026137176888803,excellent,0
